DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-19;121-150;Robô;2634,0;381932,76;2463,0;356626,35000000003;470,0;61714,03;160,0;20035,78;15;Q3;9;Set
2025-09-19;151-180;Robô;1054,0;209972,36;976,0;188710,67;198,0;38881,149999999994;63,0;5768,539999999998;15;Q3;9;Set
2025-09-19;181-360;Robô;6453,0;1645720,7200000002;6050,0;1539195,21;1104,0;277392,93999999994;192,0;21666,55;15;Q3;9;Set
2025-09-19;361-720;Robô;455,0;226643,31;20,0;8316,809999999998;10,0;3574,1000000000004;10,0;3574,1000000000004;15;Q3;9;Set
2025-09-19;Maior 720;Robô;254,0;80209,51000000001;19,0;5660,95;13,0;3283,67;13,0;3283,67;15;Q3;9;Set
2025-09-20;Preventivo;Robô;103,0;6920,899999999999;44,0;2770,9900000000007;35,0;2209,63;35,0;2209,63;15;Q3;9;Set
2025-09-20;0-30;Robô;4244,0;376967,13;4029,0;355530,44;863,0;72584,20999999999;285,0;22015,489999999998;15;Q3;9;Set
2025-09-20;31-60;Robô;4352,0;525127,02;4030,0;483812,3400000001;849,0;100908,36000000002;237,0;23996,22;15;Q3;9;Set
2025-09-20;61-90;Robô;14,0;1613,6599999999999;13,0;1586,86;3,0;612,04;2,0;452,24;15;Q3;9;Set
2025-09-20;91-120;Robô;1925,0;277139,2;1826,0;262092,85;270,0;37348,87;88,0;9778,119999999999;15;Q3;9;Set
2025-09-20;121-150;Robô;2634,0;381932,76;2463,0;356626,35000000003;470,0;61714,03;160,0;20035,78;15;Q3;9;Set
2025-09-20;151-180;Robô;1054,0;209972,36;976,0;188710,67;198,0;38881,149999999994;63,0;5768,539999999998;15;Q3;9;Set
2025-09-20;181-360;Robô;6453,0;1645720,7200000002;6050,0;1539195,21;1104,0;277392,93999999994;192,0;21666,55;15;Q3;9;Set
2025-09-20;361-720;Robô;458,0;228034,02000000002;20,0;8316,809999999998;10,0;3574,1000000000004;10,0;3574,1000000000004;15;Q3;9;Set
2025-09-20;Maior 720;Robô;254,0;80209,51000000001;19,0;5660,95;13,0;3283,67;13,0;3283,67;15;Q3;9;Set
2025-09-22;Preventivo;Robô;115,0;7534,519999999999;50,0;3048,8300000000004;41,0;2487,4700000000003;41,0;2487,4700000000003;16;Q3;9;Set
2025-09-22;0-30;Robô;4243,0;376937,23;4028,0;355500,54000000004;863,0;72584,20999999999;285,0;22015,489999999998;16;Q3;9;Set
2025-09-22;31-60;Robô;4351,0;525047,12;4029,0;483732,44000000006;849,0;100908,36000000002;237,0;23996,22;16;Q3;9;Set
2025-09-22;61-90;Robô;14,0;1613,6599999999999;13,0;1586,86;3,0;612,04;2,0;452,24;16;Q3;9;Set
2025-09-22;91-120;Robô;1925,0;277139,2;1826,0;262092,85;270,0;37348,87;88,0;9778,119999999999;16;Q3;9;Set
2025-09-22;121-150;Robô;2634,0;381932,76;2463,0;356626,35000000003;470,0;61714,03;160,0;20035,78;16;Q3;9;Set
2025-09-22;151-180;Robô;1054,0;209972,36;976,0;188710,67;198,0;38881,149999999994;63,0;5768,539999999998;16;Q3;9;Set
2025-09-22;181-360;Robô;6453,0;1645720,7200000002;6050,0;1539195,21;1104,0;277392,93999999994;192,0;21666,55;16;Q3;9;Set
2025-09-22;361-720;Robô;644,0;324059,38;28,0;14250,669999999998;16,0;8701,25;16,0;8701,25;16;Q3;9;Set
2025-09-22;Maior 720;Robô;306,0;94744,16;27,0;7075,369999999999;17,0;3551,8700000000003;17,0;3551,8700000000003;16;Q3;9;Set
2025-09-23;Preventivo;Robô;132,0;8823,4;59,0;3877,6600000000003;49,0;3288,4;49,0;3288,4;17;Q3;9;Set
2025-09-23;0-30;Robô;4243,0;376937,23;4028,0;355500,54000000004;863,0;72584,20999999999;285,0;22015,489999999998;17;Q3;9;Set
2025-09-23;31-60;Robô;4350,0;525018,75;4028,0;483704,07000000007;849,0;100908,36000000002;237,0;23996,22;17;Q3;9;Set
2025-09-23;61-90;Robô;14,0;1613,6599999999999;13,0;1586,86;3,0;612,04;2,0;452,24;17;Q3;9;Set
2025-09-23;91-120;Robô;1925,0;277139,2;1826,0;262092,85;270,0;37348,87;88,0;9778,119999999999;17;Q3;9;Set
2025-09-23;121-150;Robô;2634,0;381932,76;2463,0;356626,35000000003;470,0;61714,03;160,0;20035,78;17;Q3;9;Set
2025-09-23;151-180;Robô;1054,0;209972,36;976,0;188710,67;198,0;38881,149999999994;63,0;5768,539999999998;17;Q3;9;Set
